pasma,mesto,skupina,min_starost,max_starost,min_visina,max_visina,min_teza,max_teza,nega,hitrost_ucenja,temperament,opis

Azawakh,,Hound,12,15,24.0,28.0,38.5,49.5,Weekly Brushing,Independent,Friendly,"The Azawakh is an African sighthound of Afro-Asiatic type, which appeared in Europe towards 1970 and, comes from the Nigerien middle basin, among others, from the Valley of the Azawakh. For hundreds of years, he has been the companion of the nomads of the southern Sahara. Particularly leggy and elegant, the Azawakh gives a general impression of great fineness. His bone structure and musculature are transparent beneath fine and lean skin. This sighthound presents itself as a rangy dog whose body fits into a rectangle with its longer sides in a vertical position. Faults &#8211; Heavy general appearance.  Size, Weight, Proportion: Height at withers &#8211; Males 25 to 29 inches, females 23 to 27 inches. Serious Fault &#8211; Size deviating more than an inch from the norms of the standard. Weight &#8211; Males 44 to 55 pounds, females 33 to 44 pounds; in correct weight a minimum of three to five ribs and hip bones should be visible. Body Proportion &#8211; Length of body/height at withers &#8211; 9:10. Length of body is 90 percent height of hound. This ratio may be slightly higher in bitches."

Labrador Retriever,1,Sporting,10,12,21.5,23.5,60.0,75.0,Weekly Brushing,Eager to Please,Outgoing,"The Labrador Retriever is a strongly built, medium-sized, short-coupled, dog possessing a sound, athletic, well-balanced conformation that enables it to function as a retrieving gun dog; the substance and soundness to hunt waterfowl or upland game for long hours under difficult conditions; the character and quality to win in the show ring; and the temperament to be a family companion. Physical features and mental characteristics should denote a dog bred to perform as an efficient Retriever of game with a stable temperament suitable for a variety of pursuits beyond the hunting environment."

Yorkshire Terrier,10,Toy,11,15,7,8,,,Specialty/Professional,May be Stubborn,Friendly,"That of a long-haired toy terrier whose blue and tan coat is parted on the face and from the base of the skull to the end of the tail and hangs evenly and quite straight down each side of body. The body is neat, compact and well proportioned. The dog&#8217;s high head carriage and confident manner should give the appearance of vigor and self-importance."

Boykin Spaniel,100,Sporting,10,15,14.5,17.0,27.5,37.5,2-3 Times a Week Brushing,Eager to Please,Alert/Responsive,"The Boykin Spaniel is medium in size, with emphasis placed on his hunting abilities, characterized by flushing and retrieving, with moderate speed and agility. His pendulous ears, intelligent expression, sturdy build and friendly wagging tail proclaim him part of the spaniel family."

Wire Fox Terrier,101,Terrier,12,15,,,,,Weekly Brushing,Agreeable,Alert/Responsive,"The Terrier should be alert, quick of movement, keen of expression, on the tip-toe of expectation at the slightest provocation. Character is imparted by the expression of the eyes and by the carriage of ears and tail.  Bone and strength in a small compass are essential, but this must not be taken to mean that a Terrier should be &#8220;cloddy,&#8221; or in any way coarse &#8211; speed and endurance being requisite as well as power. The Terrier must on no account be leggy, nor must he be too short on the leg. He should stand like a cleverly made, short-backed hunter, covering a lot of ground. N.B. Old scars or injuries, the result of work or accident, should not be allowed to prejudice a Terrier&#8217;s chance in the show ring, unless they interfere with its movement or with its utility for work or stud."
